run_id	ordinal	class	pair	position	arm	product_commit	exit_code	episode_wall_ms	caller_emission_ms	transport_or_local_tool_ms	server_ms	split_residual_ms	action_count	mcp_calls	refusal_count	first_refusal_type	caller_argument_bytes	model_output_tokens	model_reasoning_tokens	exact_tree	outcome_exact	wrong_subject	wrong_files	held_session	confirmation_used	tool_sequence
32-repair-p03-C	32	repair	3	2	C	native	0	481197.0	481186.5935058594	10.406494140625	0.0	0.0	29	0	0		0	11115	5368	True	True	0			False	command_execution,file_change,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,file_change,command_execution,command_execution,command_execution,file_change,command_execution,command_execution
33-repair-p03-A	33	repair	3	3	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	140804.0	140532.5978794098	103.93050159020996	167.471619	0.0	6	6	4	invalid-mcp-request	8204	3357	934	True	True	0		True	False	edit_clojure,edit_clojure,edit_clojure,inspect_clojure,inspect_clojure,edit_clojure
34-flagship-p03-C	34	flagship	3	1	C	native	0	423398.0	423224.75313949585	173.2468605041504	0.0	0.0	16	0	0		0	10653	3923	False	False	0			False	command_execution,command_execution,command_execution,command_execution,file_change,command_execution,file_change,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution
35-flagship-p03-B	35	flagship	3	2	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	130353.0	127808.19614219666	68.92007380334462	2475.883784	0.0	2	2	1	invalid-mcp-request	1159	3303	2654	False	False	0		True	False	apply_clojure_changes,apply_clojure_changes
36-flagship-p03-A	36	flagship	3	3	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	53454.0	51169.91806411743	45.31152488256839	2238.770411	0.0	1	1	0		520	1221	908	False	False	0		True	False	apply_clojure_changes
37-repair-p04-A	37	repair	4	1	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	263136.0	262811.2972602844	163.90343071557618	160.799309	0.0	12	12	10	invalid-mcp-request	19233	6215	1919	True	True	0		True	False	edit_clojure,edit_clojure,edit_clojure,edit_clojure,edit_clojure,edit_clojure,edit_clojure,inspect_clojure,inspect_clojure,inspect_clojure,edit_clojure,edit_clojure
38-repair-p04-C	38	repair	4	2	C	native	0	325790.0	325757.5352573395	32.46474266052246	0.0	0.0	32	0	0		0	7308	2861	True	True	0			False	command_execution,file_change,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,file_change,command_execution,command_execution,command_execution,command_execution,command_execution,file_change,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution
39-repair-p04-B	39	repair	4	3	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	65773.0	65558.19606590271	57.51683809729005	157.287096	0.0	2	2	1	expect-count-mismatch	3874	1489	308	True	True	0		True	False	edit_clojure,edit_clojure
40-repair-p05-B	40	repair	5	1	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	96811.0	96586.75182914734	68.41919285266113	155.828978	0.0	3	3	2	invalid-mcp-request	5799	2383	586	True	True	0		True	False	edit_clojure,edit_clojure,edit_clojure
41-repair-p05-A	41	repair	5	2	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	83052.0	82826.08123016357	76.26225083642578	149.656519	0.0	4	4	3	invalid-mcp-request	7763	1934	946	True	True	0		True	False	edit_clojure,edit_clojure,edit_clojure,edit_clojure
42-repair-p05-C	42	repair	5	3	C	native	0	312691.0	312687.7095851898	3.290414810180664	0.0	0.0	28	0	0		0	6923	2478	True	True	0			False	command_execution,command_execution,file_change,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,file_change,command_execution,command_execution,file_change,command_execution,command_execution
